safePermission;safePermissionDesc
useAccounts;"Use accounts but cannot view passwords."
retrieveAccounts;"Retrieve and view accounts in the Safe."
listAccounts;"View the Accounts list."
addAccounts;"Add accounts in the Safe."
updateAccountContent;"Update existing account content."
updateAccountProperties;"Update existing account properties."
initiateCPMAccountManagementOperations;"Initiate password management operations through CPM"
specifyNextAccountContent;"Specify the password that is used when the CPM changes the password value."
renameAccounts;"Rename existing accounts in the Safe."
deleteAccounts;"Delete existing passwords in the Safe."
unlockAccounts;"Unlock accounts that are locked by other users."
manageSafe;"Perform administrative tasks in the Safe"
manageSafeMembers;"Add and remove Safe members, and update their authorizations in the Safe."
backupSafe;"Create a backup of a Safe and its contents, and store in another location."
viewAuditLog;"View account and user activity in the Safe."
viewSafeMembers;"View Safe members` permissions."
requestsAuthorizationLevel1;"Request Authorization Level 1."
requestsAuthorizationLevel2;"Request Authorization Level 2."
accessWithoutConfirmation;"Access the Safe without confirmation from authorized users."
createFolders;"Create folders in the Safe."
deleteFolders;"Delete folders from the Safe."
moveAccountsAndFolders;"Move accounts and folders in the Safe to different folders and subfolders."
